iter	Logloss
0	0.6837206082
1	0.6736530112
2	0.6657698576
3	0.6581300206
4	0.6521312564
5	0.6466676296
6	0.6411778256
7	0.6370575051
8	0.6344035697
9	0.6310525464
10	0.6286238985
11	0.6262556321
12	0.624271336
13	0.6225536354
14	0.6206787933
15	0.6189683243
16	0.6175173328
17	0.6156628216
18	0.6141899649
19	0.6125024977
20	0.611318535
21	0.6097304488
22	0.6086107464
23	0.6072396788
24	0.6061458126
25	0.6047945502
26	0.6036829886
27	0.6024735804
28	0.6016843927
29	0.6008030059
30	0.599376373
31	0.5987243652
32	0.5977916469
33	0.5968085277
34	0.5960509089
35	0.5949754981
36	0.5941637561
37	0.5937093525
38	0.5929800918
39	0.5920435801
40	0.5911948277
41	0.5903512681
42	0.5896439508
43	0.5890639321
44	0.5884021993
45	0.5875611545
46	0.5864768996
47	0.5857852744
48	0.5851924548
49	0.5846474504
50	0.5840476265
51	0.5834091158
52	0.5826638646
53	0.5817460073
54	0.5811736819
55	0.5802424766
56	0.5796628558
57	0.5789208439
58	0.5782647302
59	0.5776600261
60	0.5771903565
61	0.5761657161
62	0.5757469802
63	0.5751918033
64	0.5745840161
65	0.5739242298
66	0.5734588794
67	0.5730827587
68	0.5723363496
69	0.5718226868
70	0.5713883299
71	0.5708493778
72	0.5702511381
73	0.5699797121
74	0.5693531853
75	0.5688877496
76	0.5684850611
77	0.5680883894
78	0.5676666487
79	0.5673430317
80	0.5667618835
81	0.5662120485
82	0.5657857685
83	0.5654364716
84	0.5649508755
85	0.5643503768
86	0.5639148904
87	0.5633699499
88	0.5628154122
89	0.5624174193
90	0.5618342465
91	0.561133287
92	0.5602728988
93	0.5596968937
94	0.5591730654
95	0.5587804997
96	0.5583020287
97	0.5578487403
98	0.5572530437
99	0.5567462786
100	0.5559569133
101	0.5553844459
102	0.5549991046
103	0.554577435
104	0.55389199
105	0.5532786194
106	0.5527023656
107	0.5520799164
108	0.5515047922
109	0.5505642385
110	0.5500409359
111	0.5496078576
112	0.549033387
113	0.5484997201
114	0.5478181537
115	0.5471592127
116	0.5465213058
117	0.5461630581
118	0.5454797798
119	0.5449277356
120	0.5444536973
121	0.5439941364
122	0.5433081444
123	0.5427120429
124	0.5420737027
125	0.541517517
126	0.5408392468
127	0.5403128114
128	0.5398840664
129	0.5393091695
130	0.5388649172
131	0.5384128933
132	0.5379977093
133	0.5374744351
134	0.5366358624
135	0.5363069176
136	0.5356283135
137	0.535140295
138	0.5348305445
139	0.5341362554
140	0.5336226351
141	0.5331257229
142	0.532789859
143	0.5322284521
144	0.5317993164
145	0.5314020338
146	0.5310062927
147	0.5305228065
148	0.5301832061
149	0.529775069
150	0.5294566732
151	0.5289331291
152	0.5285795201
153	0.5280757172
154	0.5276051527
155	0.5270947291
156	0.5266064337
157	0.5261504601
158	0.5256586981
159	0.5251387626
160	0.5246247304
161	0.5243341315
162	0.523992336
163	0.5234158763
164	0.5228413275
165	0.522120854
166	0.5216257248
167	0.5210109689
168	0.5205363339
169	0.5200205826
170	0.5195749592
171	0.5191347559
172	0.5187906091
173	0.5181716052
174	0.5176476207
175	0.5172196784
176	0.5167918498
177	0.5162799487
178	0.515778483
179	0.5154638095
180	0.515177558
181	0.5146801272
182	0.5144133896
183	0.5139694498
184	0.5135657028
185	0.5130146247
186	0.5127266754
187	0.5122447804
188	0.5120070402
189	0.5114442907
190	0.5110861496
191	0.5106383524
192	0.5101163569
193	0.5096975003
194	0.5094569684
195	0.5091057037
196	0.5086947819
197	0.5083422599
198	0.5080474626
199	0.5074926124
200	0.5070850791
201	0.506747212
202	0.5062114566
203	0.5059187124
204	0.5055302171
205	0.5050055577
206	0.5046345375
207	0.5042068084
208	0.5038507913
209	0.5036205881
210	0.5031033166
211	0.5027089465
212	0.5023389209
213	0.5019399476
214	0.501700261
215	0.5012191261
216	0.5009042182
217	0.5004127687
218	0.5000345454
219	0.4997255975
220	0.4993834185
221	0.4990101749
222	0.4985926751
223	0.4981406725
224	0.497752163
225	0.4973795232
226	0.4969385101
227	0.4965508814
228	0.4962483767
229	0.4959992776
230	0.495764379
231	0.4953176403
232	0.4949722148
233	0.4945885003
234	0.4943902994
235	0.4941531489
236	0.493745367
237	0.4935035492
238	0.4931494501
239	0.4927068529
240	0.492500497
241	0.4922188558
242	0.4918959847
243	0.4913813912
244	0.4911514296
245	0.4908038944
246	0.4903528792
247	0.4901275706
248	0.4897745726
249	0.4894169216
250	0.4891034771
251	0.4886792501
252	0.488349467
253	0.4881219065
254	0.4878817013
255	0.4875467752
256	0.4872092277
257	0.4867550159
258	0.4861819802
259	0.4857602892
260	0.485460871
261	0.4850638832
262	0.4845574519
263	0.4842363461
264	0.4840303808
265	0.4835274517
266	0.4833047963
267	0.4831015269
268	0.4827920072
269	0.4823396921
270	0.4821557661
271	0.4819114444
272	0.4816610631
273	0.4814067571
274	0.481183132
275	0.4806541926
276	0.480256022
277	0.4797451936
278	0.4794231607
279	0.4788907369
280	0.4786046346
281	0.4782981659
282	0.4779719916
283	0.4776370334
284	0.477212778
285	0.476967174
286	0.476688488
287	0.4764398614
288	0.4760892289
289	0.4758109052
290	0.4754854909
291	0.4750807849
292	0.4748515657
293	0.4745665751
294	0.474228605
295	0.4738589594
296	0.47365233
297	0.4733930975
298	0.4728372101
299	0.4726407674
